arrivals,blocked_submit,blocked_forward,dropped,backups_saved,backup_retries,enqueued_forward,completed,mean_service_time,mean_send_time,mean_time_in_system,var_time_in_system,rate_blocked_submit,rate_blocked_forward,rate_dropped,utilization_exec,run,seed
19677,0,0,0,18152,13681,1525,15156,0.9950178971432593,0.6663029698137335,1182.3515959642284,626710.6320375341,0.0,0.0,0.0,0.48947417905219626,1,43
19941,0,0,0,18407,13560,1534,15043,1.019045918534005,0.6713433833854173,1276.8770890932678,702761.9078931028,0.0,0.0,0.0,0.5080198665371642,2,44
19875,0,0,0,18384,13718,1491,15159,0.9903415860513336,0.6662482363584629,1256.7711651071122,655831.8695130894,0.0,0.0,0.0,0.4920759755692603,3,45
19997,0,0,0,18521,13651,1476,15076,0.9898189336536809,0.6697155931331975,1222.556485087457,720262.1947703471,0.0,0.0,0.0,0.4948352304068185,4,46
19942,0,0,0,18483,13496,1459,14905,1.0045788683943728,0.6774770612739731,1313.8963276461036,762111.1132315857,0.0,0.0,0.0,0.5008327948380153,5,47
19920,0,0,0,18444,13611,1476,15036,1.006989868710248,0.6715443907148031,1265.769467456676,675346.863727466,0.0,0.0,0.0,0.5014809546177078,6,48
20177,0,0,0,18718,13730,1459,15138,0.9816696249368008,0.6671521724068254,1240.2333291112345,743499.3025425692,0.0,0.0,0.0,0.49517870055874574,7,49
19839,0,0,0,18337,13629,1502,15080,1.0088934956240823,0.6693928172761062,1252.387686744499,722015.3702664864,0.0,0.0,0.0,0.500385951492154,8,50
19886,0,0,0,18350,13588,1536,15073,1.0005597949675897,0.6700323386565042,1219.7111832113226,668203.890730681,0.0,0.0,0.0,0.49742830206813443,9,51
20170,0,0,0,18634,13745,1536,15230,1.0024792308724948,0.6628742987857978,1240.7383196073515,674454.3898578155,0.0,0.0,0.0,0.5055001521674568,10,52
19781,0,0,0,18228,13482,1553,14984,1.005344324735824,0.673531657376692,1202.5490682554027,694754.7208164313,0.0,0.0,0.0,0.49716790218998314,11,53
20036,0,0,0,18502,13664,1534,15148,1.005084791564966,0.6666175920649328,1228.4473988572772,761373.0241990037,0.0,0.0,0.0,0.5034469720948936,12,54
20022,0,0,0,18574,13730,1448,15127,1.0037882354287453,0.6673902277581076,1321.4142357555563,728947.4860207713,0.0,0.0,0.0,0.502446201243856,13,55
19737,0,0,0,18333,13581,1404,14934,1.001850642988077,0.6761323277426036,1264.4715306672488,719023.996952357,0.0,0.0,0.0,0.49433815351639215,14,56
20148,0,0,0,18550,13696,1598,15243,1.0005814911666413,0.6623712847138844,1186.3755691265217,666069.6040467597,0.0,0.0,0.0,0.5039928971006361,15,57
19760,0,0,0,18182,13693,1578,15220,1.0056815091437707,0.6633626933134984,1138.64231519096,570974.5574797929,0.0,0.0,0.0,0.4968066655170265,16,58
19965,0,0,0,18497,13649,1468,15066,0.9968150821158304,0.6702005959402298,1208.6745051800551,705019.0000580726,0.0,0.0,0.0,0.4975353278610615,17,59
19996,0,0,0,18243,13594,1753,15296,1.0057520411952812,0.6602537214820027,1140.3470152520592,670269.7998954927,0.0,0.0,0.0,0.5027754453935217,18,60
20179,0,0,0,18720,13810,1459,15218,1.0035711121186996,0.6635730547166817,1236.1693818144543,678052.918235048,0.0,0.0,0.0,0.5062765367860809,19,61
20038,0,0,0,18489,13719,1549,15218,1.0042521411736485,0.6634283590324065,1205.9678861139237,655350.7390144157,0.0,0.0,0.0,0.5030801101209389,20,62
20006,0,0,0,18467,13567,1539,15055,0.9844475791250297,0.6707205596118221,1313.9365200858383,712415.2453589169,0.0,0.0,0.0,0.4923714566993814,21,63
20060,0,0,0,18544,13455,1516,14921,0.9944260405217358,0.6768403773432501,1312.1283014728358,776667.5025561092,0.0,0.0,0.0,0.49870465932164815,22,64
19972,0,0,0,18417,13683,1555,15187,1.0078755313294374,0.6649062877611749,1197.451811540555,718821.7270400806,0.0,0.0,0.0,0.5032322527927877,23,65
19977,0,0,0,18424,13538,1553,15040,0.9933519112886307,0.6712444377195639,1264.9243422105856,729881.3287969135,0.0,0.0,0.0,0.4961047782953264,24,66
19831,0,0,0,18320,13851,1511,15311,1.0047990499110298,0.6594498030713717,1196.6150020621888,609068.6023538416,0.0,0.0,0.0,0.4981542489696412,25,67
19937,0,0,0,18463,13737,1474,15160,0.9961268736915875,0.6660550499586404,1204.052338169761,678812.4992774278,0.0,0.0,0.0,0.49649453701972845,26,68
20138,0,0,0,18581,13463,1557,14969,0.9943453849705097,0.6745896990506464,1313.1389164957566,772126.9393323816,0.0,0.0,0.0,0.5006031840634041,27,69
20026,0,0,0,18472,13819,1554,15322,0.9962946751279176,0.6589652523415999,1136.5582872252953,601635.0848228046,0.0,0.0,0.0,0.4987949291027908,28,70
19984,0,0,0,18434,13923,1550,15422,1.0179084286444486,0.6548822241393728,1215.7265385507521,617969.3822735435,0.0,0.0,0.0,0.508547050950771,29,71
19854,0,0,0,18317,13766,1537,15252,1.0010899588574471,0.6620896698286967,1179.493779419555,631447.0297399141,0.0,0.0,0.0,0.4968910010788933,30,72
